2,"100 Black Men of Tampa Bay, Inc.","Mentoring, Partnership with Oak Park Elementary, Booker T. Washington Elementary, and Potter Elementary in Tampa has once again continued with the start of the new school year. The Jr. 100(3rd, 4th, and 5th grade young men) receives direct mentoring from the 100 of Tampa Bay. Mentoring the 100 Way is one of the signature programs of the 100 Black Men of America, Inc. This holistic program addresses the social, emotional and cultural needs of children ages 8-18. Locally we are proud to have participated in the African American Men's Health Fair for another consecutive year. This event which takes place in March every year was held at Hillsborough Community College. The 100 wants to make sure that children of all backgrounds have access to education. The program provides annual scholarship awards to deserving matriculating students who will be full time students at accredited, postsecondary institutions based on 100 Black Men of America, Inc. eligibility criteria. Economic Development: Strives to encourage and empower the African American community to become financially literate and economically self-sufficient through the development and facilitation of programmatic initiatives that address the educational, technical and fiscal needs of our  children, youth and those of the larger community. Through its membership, the local chapters will provide informational and progressive guidance and support through the facilitation of workshops, didactic seminars, and active partnerships with local corporations, businesses and schools. Within this framework, increased knowledge and practical applicability of concepts will assist in improved understanding of economics and financial empowerment. Current programs include: Chronicles of Black Wealth, Dollars and Sense Program, Financial Fitness For Life, Job Readiness Program, National Internship Program, and SmartEdge by GMAC.PO Box 22461 Tampa FL, 33622","PO Box 22461 Tampa FL, 33622",27.96,-82.53,http://localhost:3000/blue_ribbon/partners/2.json
3,A Woman's Place,"Please call us today to schedule a FREE AND CONFIDENTIAL visit.A Woman's Place offers support to women during a critical time of life-changing decisions. We strive to provide women with factual information about their pregnancy and their options. We empower women to make healthy and informed decisions about the future of their pregnancy by offering the following services free of charge: pregnancy testing, limited ultrasounds (for qualified pregnant clients), medical and community referrals, options information and support, and post-abortion grief support. We also offer many programs to give you a way to connect to other women just like you, so you don't have to go through this season of your life alone. We offer support groups, educational classes for pregnancy, childbirth, parenting and life skills. Baby items and supplies are earned through the Life Coaching Program. Sexual Integrity is an educational program for anyone who is experiencing negative feelings or emotional pain from sexual relationships in the past. If your view of sex has turned from something positive to anegative factor in your life, Sexual Integrity Program can help you discover why, and teach you how to have healthy relationships in your life. Our trained Volunteer advocates and Life Coaches are women who have been through many of the situations you face and have a passion for helping women make the best decisions during this time. We even offer post- pregnancy counseling whether you have chosen Parenting, Abortion or Adoption as the result of your pregnancy. You may have questions or may be feeling emotional or physical pain as a result of any of these options. We simply want to help you sort through the emotions you have and the choices you have to make regarding your pregnancy.Two Locations: 3308 West Kennedy Boulevard Tampa, Florida 33609 Hours: 9am5pm14492 University Cove Place Tampa, Florida 33613 Hours Monday 9am8pm and Tuesday Friday 9am5pm813 931-1804 14492 University Cove Place Tampa, FL 33613 Pregnant women, parents, teens, preteen, and post abortion","3308 West Kennedy Boulevard Tampa, Florida 33609",27.944479,-82.497818,http://localhost:3000/blue_ribbon/partners/3.json
4,ABC Program,"Provides prenatal education to women in Hillsborough County. Childbirth class focuses on preparing a woman and her support person for labor and delivery. Newborn care classes teach new parents how to care for their newborn at home and breastfeeding class teaches how to get breastfeeding off to a good start. Baby Cafe' is a drop-in service to support pregnant and breastfeeding mothers with lactation at any time during opening hours.Women can register themselves online at http://championsforchildrentampabay.org/services/abcprogram 813 673-4646, 3108 West Azeele Street Tampa, FL 33609 Universal Access any family","3108 West Azeele Street Tampa, FL 33609",27.9407324,-82.4942862,http://localhost:3000/blue_ribbon/partners/4.json
5,Achieve Tampa Bay Early Education Center,"Early Education Center on Henry Avenue: Accredited by the National Association for the Education of Young Children (NAEYC), the Early Education Center is based on an early intervention model – one that prevents developmental delays and improves developmental outcomes. These results are made possible by a low child-to-adult ratio, with quality interaction and individualized attention. In addition, we are a contracted provider for Hillsborough County Head Start. The Center is an inclusive setting that provides a supportive learning environment both for children with disabilities as well as those without disabilities, using developmentally appropriate practices that focus on exploration and experience through play. Teachers adapt daily activities to meet each child’s needs and incorporate early intervention techniques into everyday teaching and caregiving routines in the classroom. Designed for children from birth to six years of age, the curriculum includes self-expression, dramatic play, motor, math, music, critical thinking, science, social science and literacy. Skill areas addressed are fine motor, gross motor, cognitive, language, social/emotional and readiness.Children from birth to six years of age with or without a disability813-239-1179 ext. 251 2215 East Henry Avenue Tampa, FL 33610","2215 East Henry Avenue Tampa, FL 33610",27.9991413,-82.4334476,http://localhost:3000/blue_ribbon/partners/5.json
6,Achieve Tampa Bay Sibshops,"SibShops, a family support program, provides support and guidance to young people who have a sibling with a disability. Through participation in SibShops, they can develop a better understanding of their sibling’s disability, spend time with peers who have a sibling with adisability, share their feelings in a safe and understanding environment and participate in enjoyable activities with peers.Sibling of a child with special needs serve children ages 5 on up to teens813-239-1179 ext 251, 2215 East Henry Avenue Tampa, FL 33610","2215 East Henry Avenue Tampa, FL 33610",27.9991413,-82.4334476,http://localhost:3000/blue_ribbon/partners/6.json
7,Adoptions Division Children's Home Society,"Whether you're facing an unplanned pregnancy or hoping to adopt, we can help. With more than a century of experience bringing together loving families through adoption, we've earned the reputation as Florida's most trusted adoption organization.Services provided for those wanting to adopt, experiencing unplanned pregnancy, thosesearching for the baby they placed for adoption and want to reconnect with them (more than 18 years ago), and for youth looking for parents waiting to adopt.813-949-8946, 1515 Michelin Court Lutz, FL 33549",,,,http://localhost:3000/blue_ribbon/partners/7.json
8,Alpha House of Tampa Maternity House,"Pregnant women and foster teens are provided with safe housing along with an array of pre and postnatal services while living at Alpha House. Foster care teens may stay at Alpha House with their infant for an indefinite period of time and can progress to our Semi-Independent or Transitional Housing programs after the delivery of their healthy baby. Service delivery is based on a case plan compromised of five components of care: mental health counseling, social rehabilitative counseling, life skills management, vocational assistance, and collateral services. Pregnant and parenting foster care teens are required to attend school during the day. Afternoons and evenings offer a wide variety of classes including labor & delivery, nutrition, motivational classes, individual and group trauma counseling, women's health issues, child care and parenting skills, etc.Women, 18 years of age or older, who are homeless and pregnant or parenting and meet the federal guidelines for homelessness. Teens are referred to Alpha House solely through the Foster Care system. Able to function in group home813-875-2024 201 South Tampania Avenue Tampa, FL 33609","201 South Tampania Avenue Tampa, FL 33609",27.9429583,-82.4862886,http://localhost:3000/blue_ribbon/partners/8.json
9,"Alpha House of Tampa, Inc.","Alpha House provides a maternity based comprehensive residential program for up to 23 pregnant women, foster care teens and their infants and a transitional housing program for 16 homeless women who are newly parenting. Alpha House of Tampa's maternity home is the only licensed maternity home in Hillsborough County. At any given time, Alpha House of Tampa provides safe housing for 39 women and their children. Referral Process: Online Application: www.alphahouseoftampa.org, Call: 813-875-2024 ,Email: mcoats@alphahouseoftampa.org Services: Alpha house of Tampa provides best practice trauma informed services which are grounded in a self-sufficiency model and designed to achieve our mission outcomes of healthy births, maximizing each child's developmental potential, improving our mom's ability to  become and remain employees, and to secure safe housing with the maximum community impact. Parents as Teachers Center, Our onsite Parents as Teachers Program provides ages, stages, and child development assessments in order to assure that our babies and toddlers are on target with their growth and development. This program also includes parent participation and training to include infant massage, Born to Read classes, attachment and bonding guidance and other hands on opportunities for our moms of all ages. Alpha House's expansion hasprovided the opportunity to design and implement a certified lactation program within our new Parents as Teachers Center. We have also expanded our programs to include preadmission services in order to engage pregnant and parenting women in a family-centered case plan to provide home visitation and case management services while awaiting to enter Alpha House. Developmental screening and home visitation prior to admission will assist mothers in getting a head start on her significant goals while awaiting for residency. During this outreach and engagement time, a Case Manager and PAT Educator will assist each mother with basic life- skills, transportation and referrals to childcare, prenatal and pediatric care. We also offer aftercare services to mother completing our program so that each mom and child can continue to receive services after their discharge from Alpha House. Trauma Recovery and  Empowerment Model (TREM):TREM is a group-based counseling intervention model designed to facilitate trauma recovery among women and teems with histories of exposure to sexual and physical abuse. Drawing on cognitive restructuring, psycho-educational, and skills-training techniques, the gender-specific 2 4-29 session group emphasizes the development of coping skills and social support. It addresses both short and long-term consequences of violent victimization, including mental health symptoms, especially posttraumatic stress disorder (PTSD) and depression, and substance abuse. TREM has been successfully implemented in a wide range of service settings (mental health, substance abuse, criminal justice) and among diverse racial and ethnic populations. This model is documented as best practice and evidence based by SAMSA. Girls Circle: This best practice model is a structured support group for girls ages 9-18 years, integrates relational theory, resiliency practices, and skills training in a specific format designed to increase positive connection, personal and collective strengths, and competence in girls. The Girls Circle model focuses on evidence-based principles of a strengths- based approach, motivational interviewing strategies and has a strong focus on positive youth development. Alpha Academy: Alpha Academy focuses on Literacy, Life Skills Education, Parenting and Self-Sufficiently. Each resident begins at Alpha House with structure being introduced into their day. This is a full day of classroom style programing designed to assist our clients who are awaiting enrollment in school or vocational training programs. Alpha Academy offers a book club, group lunch/cooking class/nutrition, life skill classes (SA/DV awareness, anger management, financial, health and hygiene, resume and job applications, self-esteem, child birth and breast feeding, parenting and other topics) as well as field trips.Women, 18 years of age or older, who are homeless and pregnant or parenting and meet the federal guidelines for homelessness. Teens are referred to Alpha House solely through the Foster Care System.813-875-2024 201 South Tampania Avenue Tampa, FL 33609","201 South Tampania Avenue Tampa, FL 33609",27.9429583,-82.4862886,http://localhost:3000/blue_ribbon/partners/9.json
10,Arthritis Foundation Gulfcoast Region,"Toll free referral line for arthritis information, support groups, exercise, and management classes. Information and referral for arthritics. Will mail information and refer to local agencies. Information on programs and education materials about the different forms. Support groups for adults and children, conduct warm water aquatics, PACE exercise classes (low impact exercise), LDWA classes, public forums, seminars, Children's Activity group, and summer camp for children with arthritis. PACE (People with Arthritis Can Exercise), LDWA (Living Daily with Arthritis).813-968-7000 14499 North Dale Mabry Highway Tampa, FL 33618","14499 North Dale Mabry Highway Tampa, FL 33618",28.079044,-82.5051739,http://localhost:3000/blue_ribbon/partners/10.json
11,Asher Dance Eclectic Mixed Ability Dance Workshop,"Asher Dance Eclectic is a sub-company of M.A.D. Theatre that incorporates able-bodied and disabled dancers to produce high quality, educational dance performances. A.D.E. has been providing audiences throughout Central Florida with physically integrated dance since 1999 through independent dance concerts and participation with other groups. In addition, A.D.E provides educational outreach through lectures, demonstrations and interactive performances in schools, hospitals and day program settings.Open to teens & adults with & without physical disabilities. Not intended for people with developmental disabilities813-386-6173 4724 North Nebraska Avenue Tampa, FL 33603","4724 North Nebraska Avenue Tampa, FL 33603",27.9886424,-82.4513537,http://localhost:3000/blue_ribbon/partners/11.json
